timestamp,avg_goldstein,event_count,mentions
2025-11-28 11:00:00,0.0,0,0
2025-11-28 12:00:00,0.0,0,0
2025-11-28 13:00:00,0.0,0,0
2025-11-28 14:00:00,0.0,0,0
2025-11-28 15:00:00,0.0,0,0
2025-11-28 16:00:00,0.0,0,0
2025-11-28 17:00:00,0.0,0,0
2025-11-28 18:00:00,0.0,0,0
2025-11-28 19:00:00,0.0,0,0
2025-11-28 20:00:00,0.0,0,0
2025-11-28 21:00:00,0.0,0,0
2025-11-28 22:00:00,0.0,0,0
2025-11-28 23:00:00,0.0,0,0
2025-11-29 00:00:00,0.0,0,0
2025-11-29 01:00:00,0.0,0,0
2025-11-29 02:00:00,0.0,0,0
2025-11-29 03:00:00,0.0,0,0
2025-11-29 04:00:00,0.0,0,0
2025-11-29 05:00:00,0.0,0,0
2025-11-29 06:00:00,0.0,0,0
2025-11-29 07:00:00,0.0,0,0
2025-11-29 08:00:00,0.0,0,0
2025-11-29 09:00:00,0.0,0,0
2025-11-29 10:00:00,0.0,0,0
2025-11-29 11:00:00,0.0,0,0
